Reference,Cathode materials,Charge storage mechanism,Electrolyte/ anolyte,AlCl3/XCl molar ratio (r),Ic (mA g−1),Qc  (mAh g−1)#,Vavg (V)*,QAM (Ah kg−1),EAM (Wh kg−1),PAM (W kg−1),Max. cycle
76,Metal-organic framework-derived cobalt tetraoxide/multiwalled carbon nanotube polyhedron composite (Co3O4@MWCNT),Type 1 Al Conversion (Example 4),AlCl3-EMIMCl,1.3,50,181.9,0.5,171,86,24,150
,,,,1.3,100,167.1,0.35,158,55,33,
,,,,1.3,200,120.9,0.4,116,46,77,
77,Nickel phosphide nanosheets supported on reduced graphene oxide (NiP2@rGO),Type 1 Al Conversion (Example 4),AlCl3-EMIMCl,1.3,200,157,0.55,149,82,104,3000
78,Metal-organic frameworks-derived tunnel structured cobalt phosphate/hollow carbon composite (Co3(PO4)2@C),Type 1 Al Conversion (Example 4),AlCl3-EMIMCl,1.3,1000,170,1.3,161,209,1230,500
79,Self-supporting hierarchically porous cobalt phosphide on three-dimensional carbon cloth (Co-P/CC3.0-ST),Type 1 Al Conversion (Example 4),AlCl3-EMIMCl,1.3,200,257.9,0.65,237,154,120,400
80,Cobalt selenide/carbon nanodice on reduced graphene oxide,Type 1 Al Conversion (Example 4),AlCl3-EMIMCl,1.3,1000,326,0.8,294,235,721,500
,(CoSe2/C-ND@rGO),,,,,,,,,,
81,Sulfurized nickel-cobalt sulfides on reduced graphene oxide composite (S－NiCo@rGO),Type 1 Al Conversion (Example 4),AlCl3-EMIMCl,1.3,1000,248.2,0.6,229,137,554,100
82,Tellurium powder,Type 2 Al Conversion (Example 1),AlCl3-EMIMCl,1.3,20,913,1.3,29,38,1,1000
,,,,1.3,50,584,1.2,29,34,3,
,,,,1.3,100,500,1.2,28,34,7,
,,,,1.3,200,450,1.1,28,31,14,
,,,,1.3,500,393,1.1,28,31,39,
,,,,1.3,1000,265,1,27,27,102,
83,Reduced graphen oxide supported tellurium nanowires (TeNWs/rGO),Type 2 Al Conversion (Example 1),AlCl3-EMIMCl,1.3,500,1026,1.15,29,34,16,100
,,,,1.3,1000,734,0.75,29,22,30,
,,,,1.3,2000,300,1,27,27,183,
84,Tellurium hosted in nitrogen-doped porous carbon (N-PC-rGO-Te),Type 2 Al Conversion (Example 1),AlCl3-EMIMCl,1.3,500,935.5,1,29,29,16,150
,,,,1.3,1000,220,1,27,27,121,
,,,,1.3,1500,170,0.85,26,22,192,
,,,,1.3,2000,125,0.9,24,22,350,
85,Tellurium,Type 2 Al Conversion (Example 1),AlCl3-EMIMCl,1.3,500,1120,1,29,29,13,300
,,,,1.3,1000,520,1,29,29,55,
,,,,1.3,1500,360,0.9,28,25,104,
,,,,1.3,2000,280,0.8,27,22,156,
86,One-dimensional hollow selenium on carbon nanotube (Se@CT),Type 2 Al Conversion (Example 1),AlCl3-EMIMCl,1.3,200,447.2,1.55,39,61,27,200
,,,,1.3,300,305.4,1.55,38,59,57,
,,,,1.3,400,211.9,1.55,36,55,105,
,,,,1.3,500,173.2,1.55,34,53,154,
87,Selenium,Type 2 Al Conversion (Example 1),AlCl3-EMIMCl,1.3,400,602,1.5,40,60,40,500
,,,,1.3,600,330,1.6,38,61,111,
,,,,1.3,800,265,1.4,37,52,157,
,,,,1.3,1000,1009,1.3,41,54,53,
88,Acetylene black-coated antimony powder (SA),Type 2 Al Conversion (Example 2),AlCl3-EMIMCl,1.3,300,479.2,0.7,57,40,25,1000
89,Trinickel disulfide/graphene nanoflake composite (Ni2S3/graphene),Type 2 Al Conversion (Example 3),AlCl3-EMIMCl,1.3,50,350,0.45,34,15,2,100
,,,,1.3,100,300,0.45,33,15,5,
,,,,1.3,200,220,0.6,32,19,18,
